City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Tilichiki,RU,60.4667,166.1,68.32,67,17,4.9,few clouds
80,Leningradskiy,RU,69.3833,178.4167,41.18,71,88,8.68,overcast clouds
81,Plettenberg Bay,ZA,-34.0527,23.3716,56.88,56,9,7.36,clear sky
82,Mudgal,IN,16.0167,76.4333,71.11,85,100,23.38,overcast clouds
83,Baruun-Urt,MN,46.6806,113.2792,61.81,56,2,4.81,clear sky
84,Saint-Philippe,RE,-21.3585,55.7679,65.79,77,31,10.31,scattered clouds
85,Avarua,CK,-21.2078,-159.775,75.25,60,75,12.66,broken clouds
86,Port Alfred,ZA,-33.5906,26.891,56.66,81,0,11.65,clear sky
87,Cherskiy,RU,68.75,161.3,48.99,51,87,15.61,overcast clouds
88,Kaeo,NZ,-35.1,173.7833,55.33,96,100,5.5,light rain
89,Maiduguri,NG,11.8464,13.1603,81.81,60,80,12.26,broken clouds
90,Provideniya,RU,64.3833,-173.3,51.91,82,100,11.18,overcast clouds
91,Ambon,ID,-3.6954,128.1814,75.34,94,75,5.75,broken clouds
92,Bambous Virieux,MU,-20.3428,57.7575,70.05,78,75,11.5,light rain
93,Dzilam Gonzalez,MX,21.2833,-88.9333,87.04,61,100,9.82,overcast clouds
94,Mbekenyera,TZ,-10.0,38.9833,71.47,72,89,4.68,overcast clouds
95,Klaksvik,FO,62.2266,-6.589,47.32,75,80,6.67,broken clouds
96,Okha,RU,53.5739,142.9478,57.09,87,77,12.71,broken clouds
97,Fortuna,US,40.5982,-124.1573,67.86,73,75,4.0,broken clouds
98,New Norfolk,AU,-42.7826,147.0587,39.7,86,75,1.99,broken clouds
99,Ketchikan,US,55.3422,-131.6461,55.87,94,100,14.97,light rain
100,Qaanaaq,GL,77.484,-69.3632,38.84,96,100,5.68,light rain
101,Challapata,BO,-18.9,-66.7667,46.83,25,60,14.99,broken clouds
102,Mar Del Plata,AR,-38.0023,-57.5575,55.87,64,0,11.99,clear sky
103,Cozumel,MX,20.5083,-86.9458,87.94,77,100,10.0,overcast clouds
104,Cholet,FR,47.1667,-1.0,76.24,49,36,6.62,scattered clouds
105,Marsabit,KE,2.3284,37.9899,65.77,58,100,22.7,overcast clouds
106,Bandarbeyla,SO,9.4942,50.8122,76.35,84,74,29.93,broken clouds
107,Tasiilaq,GL,65.6145,-37.6368,40.17,81,20,4.25,few clouds
108,Chicama,PE,-7.8447,-79.1469,61.34,71,40,8.75,scattered clouds
109,Veraval,IN,20.9,70.3667,80.51,90,100,17.02,overcast clouds
110,Chuy,UY,-33.6971,-53.4616,45.28,83,4,7.07,clear sky
111,Panaba,MX,21.2833,-88.2667,93.31,41,96,10.67,overcast clouds
112,Barrow,US,71.2906,-156.7887,42.82,61,100,13.8,overcast clouds
113,Torbay,CA,47.6666,-52.7314,74.17,50,40,20.71,scattered clouds
114,Tiksi,RU,71.6872,128.8694,36.79,95,100,5.66,overcast clouds
115,Kodiak,US,57.79,-152.4072,60.31,72,75,8.05,broken clouds
116,Conceicao Do Araguaia,BR,-8.2578,-49.2647,82.08,34,11,2.75,few clouds
117,Kuching,MY,1.55,110.3333,75.42,94,20,1.99,few clouds
118,Marsa Matruh,EG,31.3525,27.2453,79.0,65,0,10.36,clear sky
119,Toba,JP,34.4833,136.85,78.8,79,100,2.15,overcast clouds
120,Dikson,RU,73.5069,80.5464,43.92,74,100,8.39,overcast clouds
121,Ostrovnoy,RU,68.0531,39.5131,61.95,91,72,8.86,broken clouds
122,Carnarvon,AU,-24.8667,113.6333,66.74,82,21,8.55,few clouds
123,Lerwick,GB,60.1545,-1.1494,51.8,89,100,16.87,overcast clouds
124,Kaitangata,NZ,-46.2817,169.8464,44.15,88,100,7.99,overcast clouds
125,Hamilton,US,39.1834,-84.5333,88.95,45,40,6.91,scattered clouds
126,Mareeba,AU,-17.0,145.4333,52.52,57,4,1.97,clear sky
127,Saint-Augustin,CA,51.226,-58.6502,58.96,73,98,17.11,overcast clouds
128,Katsuura,JP,35.1333,140.3,75.16,92,100,9.84,overcast clouds
129,Lakes Entrance,AU,-37.8811,147.981,42.17,87,77,10.04,broken clouds
130,Mahebourg,MU,-20.4081,57.7,70.09,78,75,11.5,broken clouds
131,Ancud,CL,-41.8697,-73.8203,41.23,83,88,8.34,light rain
132,Codrington,AU,-38.2667,141.9667,43.95,90,49,6.15,scattered clouds
133,Myrtle Beach,US,33.6891,-78.8867,84.25,78,0,12.66,clear sky
134,Cordoba,AR,-31.4135,-64.1811,61.75,42,0,18.41,clear sky
135,Talnakh,RU,69.4865,88.3972,49.21,60,43,2.95,scattered clouds
136,Husavik,IS,66.0449,-17.3389,49.21,68,43,4.92,scattered clouds
137,Ilulissat,GL,69.2167,-51.1,39.49,88,98,4.14,overcast clouds
138,Hofn,IS,64.2539,-15.2082,50.74,83,32,8.72,scattered clouds
139,Cayhagan,PH,9.6697,122.4256,79.38,79,61,0.58,broken clouds
140,Eydhafushi,MV,5.1033,73.0708,82.22,76,72,14.03,broken clouds
141,Port Lincoln,AU,-34.7333,135.8667,50.02,79,3,4.81,clear sky
142,Sambava,MG,-14.2667,50.1667,67.82,88,23,10.27,few clouds
143,Palekh,RU,56.8028,41.8572,59.41,86,29,4.65,scattered clouds
144,Narsaq,GL,60.9167,-46.05,46.42,74,100,4.32,overcast clouds
145,Lebu,CL,-37.6167,-73.65,44.96,78,100,0.45,overcast clouds
146,Chokurdakh,RU,70.6333,147.9167,46.4,64,58,11.41,broken clouds
147,Sinnamary,GF,5.3833,-52.95,76.01,91,100,5.91,overcast clouds
148,Villa Carlos Paz,AR,-31.4241,-64.4978,58.39,31,0,1.99,clear sky
149,Tuatapere,NZ,-46.1333,167.6833,43.75,87,82,3.94,broken clouds
150,Evensk,RU,61.95,159.2333,56.53,81,30,5.91,scattered clouds
151,Henties Bay,NA,-22.116,14.2845,55.85,89,0,8.84,clear sky
152,Esperance,AU,-33.8667,121.9,59.52,44,62,23.22,broken clouds
153,Belyy Yar,RU,53.6039,91.3903,53.49,87,0,2.24,clear sky
154,Halifax,CA,44.6453,-63.5724,80.49,75,40,10.36,scattered clouds
155,Olinda,BR,-8.0089,-34.8553,78.53,69,40,12.66,scattered clouds
156,Havre-Saint-Pierre,CA,50.2334,-63.5986,68.36,49,75,14.97,broken clouds
157,Okhotsk,RU,59.3833,143.3,62.8,89,100,3.18,overcast clouds
158,Hithadhoo,MV,-0.6,73.0833,83.46,73,97,12.86,overcast clouds
159,Severo-Kurilsk,RU,50.6789,156.125,54.45,95,100,1.14,overcast clouds
160,Ponta Delgada,PT,37.7333,-25.6667,69.49,94,75,11.5,light rain
